model,url,status
GR COROLLA,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=GR+COROLLA&ssd=%24%2AKwGx6-yIsrOwAAAAAMrbmmE%3D%24,FAILED
HILUX,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=HILUX&ssd=%24%2AKwG44uWBu7i7AAAAAOY73Z4%3D%24,FAILED
HILUX CHAMP,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=HILUX+CHAMP&ssd=%24%2AKwHSiI_r0dLeAAAAAC_H0SU%3D%24,FAILED
HILUX SURF,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=HILUX+SURF&ssd=%24%2AKwFmPDtfZWZrAAAAACA-jSw%3D%24,FAILED
LAND CRUISER,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=LAND+CRUISER&ssd=%24%2AKwGm_PufpaOgAAAAAIUaOzY%3D%24,FAILED
LAND CRUISER 100,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=LAND+CRUISER+100&ssd=%24%2AKwHEnpn9x8HDAAAAAHrYqEs%3D%24,FAILED
LAND CRUISER 200,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=LAND+CRUISER+200&ssd=%24%2AKwGJ09SwioyJAAAAAKufKrQ%3D%24,FAILED
LAND CRUISER 300,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=LAND+CRUISER+300&ssd=%24%2AKwGt9_CUrqisAAAAAKkbB-Q%3D%24,FAILED
LAND CRUISER 80,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=LAND+CRUISER+80&ssd=%24%2AKwG07umNt7G2AAAAALi2ccw%3D%24,FAILED
LAND CRUISER PRADO,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=LAND+CRUISER+PRADO&ssd=%24%2AKwGz6e6KsLawAAAAACkpgKo%3D%24,FAILED
RAV4,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=RAV4&ssd=%24%2AKwH2rKvP9vDyAAAAAACDXQ4%3D%24,FAILED
RAV4 EV,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=RAV4+EV&ssd=%24%2AKwHWjIvv1tDTAAAAAId8qh4%3D%24,FAILED
RAV4 PHV,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=RAV4+PHV&ssd=%24%2AKwFnPTpeZ2FhAAAAAMKuu-s%3D%24,FAILED
YARIS,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=YARIS&ssd=%24%2AKwHFn5j8xMDAAAAAALYM65k%3D%24,FAILED
YARIS CROSS,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=YARIS+CROSS&ssd=%24%2AKwGp8_SQqKyuAAAAAMaHrP8%3D%24,FAILED
YARIS GR,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=YARIS+GR&ssd=%24%2AKwGVz8islJCVAAAAAISa9Zg%3D%24,FAILED
YARIS HYBRID,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=YARIS+HYBRID&ssd=%24%2AKwGG3Nu_h4OHAAAAAOgCvX0%3D%24,FAILED
YARIS R,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=YARIS+R&ssd=%24%2AKwFHHRp-RkJFAAAAAB_UgYA%3D%24,FAILED
